Partido;Local;Equipo;Conferencia;Nivel;ConfRival;NivelRival;Puntos;Ptsencontra;Ganador;T2A;T2I;T3A;T3I;TLA;TLI;Reb;RebO;RebD;Asist;Robos;Tapones;Perdidas;Ptsperdida;Ptscontrataque;Ptszona;Faltas;Tecnicas;Intecionales;T2AR;T2IR;T3AR;T3IR;TLAR;TLIR;RebR;RebOR;RebDR;AsistR;RobosR;TaponesR;PerdidasR;PtsperdidaR;PtscontrataqueR;PtszonaR;FaltasR;TecnicasR;IntencionalesR
400974792;Vis;76ers;0;1;0;1;97;86;D;35;75;9;24;18;24;57;8;41;25;11;0;21;20;0;42;24;0;0;33;85;6;30;14;19;46;9;30;14;5;2;14;8;2;46;21;1;0
400974792;L;Pistons;0;1;0;1;86;97;V;33;85;6;30;14;19;46;9;30;14;5;2;14;8;2;46;21;1;0;35;75;9;24;18;24;57;8;41;25;11;0;21;20;0;42;24;0;0
400974793;Vis;Hawks;0;0;0;1;93;104;D;36;76;7;17;14;18;47;6;35;14;9;1;21;17;7;44;17;3;1;39;85;14;37;12;18;49;10;31;21;12;6;19;21;14;40;19;2;0
400974793;L;Heat;0;1;0;0;104;93;V;39;85;14;37;12;18;49;10;31;21;12;6;19;21;14;40;19;2;0;36;76;7;17;14;18;47;6;35;14;9;1;21;17;7;44;17;3;1
400974794;Vis;Grizzlies;1;0;1;2;98;90;D;29;68;6;19;34;37;47;3;35;16;5;2;12;6;0;40;21;1;0;32;77;9;38;17;23;46;9;30;25;5;2;18;22;4;44;31;3;0
400974794;L;Rockets;1;2;1;0;90;98;V;32;77;9;38;17;23;46;9;30;25;5;2;18;22;4;44;31;3;0;29;68;6;19;34;37;47;3;35;16;5;2;12;6;0;40;21;1;0
400974795;Vis;Hornets;0;1;0;2;94;103;V;33;78;7;26;21;36;60;10;38;17;3;5;14;14;4;32;21;1;0;40;85;9;26;14;16;47;5;37;24;8;4;13;15;7;56;27;0;0
400974795;L;Bucks;0;2;0;1;103;94;D;40;85;9;26;14;16;47;5;37;24;8;4;13;15;7;56;27;0;0;33;78;7;26;21;36;60;10;38;17;3;5;14;14;4;32;21;1;0
400974796;Vis;Warriors;1;2;1;0;133;103;V;48;86;15;39;22;26;57;10;40;33;6;8;16;18;34;44;23;1;0;38;96;9;29;18;30;55;14;28;21;11;0;12;15;8;44;20;1;0
400974796;L;Mavericks;1;0;1;2;103;133;D;38;96;9;29;18;30;55;14;28;21;11;0;12;15;8;44;20;1;0;48;86;15;39;22;26;57;10;40;33;6;8;16;18;34;44;23;1;0
