Partido;Local;Equipo;Conferencia;Nivel;ConfRival;NivelRival;Puntos;Ptsencontra;Ganador;T2A;T2I;T3A;T3I;TLA;TLI;Reb;RebO;RebD;Asist;Robos;Tapones;Perdidas;Ptsperdida;Ptscontrataque;Ptszona;Faltas;Tecnicas;Intecionales;T2AR;T2IR;T3AR;T3IR;TLAR;TLIR;RebR;RebOR;RebDR;AsistR;RobosR;TaponesR;PerdidasR;PtsperdidaR;PtscontrataqueR;PtszonaR;FaltasR;TecnicasR;IntencionalesR
400974799;0;Kings;1;0;1;0;115;117;0;43;99;9;22;20;29;50;13;24;19;13;2;9;11;17;48;25;0;0;42;77;10;30;23;27;54;6;39;20;6;5;21;27;11;50;25;0;0
400974799;1;Suns;1;0;1;0;117;115;1;42;77;10;30;23;27;54;6;39;20;6;5;21;27;11;50;25;0;0;43;99;9;22;20;29;50;13;24;19;13;2;9;11;17;48;25;0;0
400974800;0;Bulls;0;0;0;2;112;119;0;42;88;17;33;11;13;45;8;31;28;3;3;12;24;0;36;20;0;0;43;83;16;38;17;22;48;8;31;28;5;3;9;16;8;38;14;0;0
400974800;1;Cavaliers;0;2;0;0;119;112;1;43;83;16;38;17;22;48;8;31;28;5;3;9;16;8;38;14;0;0;42;88;17;33;11;13;45;8;31;28;3;3;12;24;0;36;20;0;0
400974801;0;Nets;0;0;0;0;121;125;1;40;96;11;35;30;34;57;14;35;21;8;4;16;16;16;50;27;1;0;41;83;8;23;35;40;50;6;38;20;8;5;11;18;11;58;23;2;0
400974801;1;Magic;0;0;0;0;125;121;0;41;83;8;23;35;40;50;6;38;20;8;5;11;18;11;58;23;2;0;40;96;11;35;30;34;57;14;35;21;8;4;16;16;16;50;27;1;0
400974802;0;Knicks;0;0;0;2;89;110;1;36;85;1;12;16;25;51;11;32;20;8;2;14;19;4;58;17;0;0;37;75;14;29;22;27;50;5;36;26;11;7;14;13;12;40;24;1;0
400974802;1;Celtics;0;2;0;0;110;89;0;37;75;14;29;22;27;50;5;36;26;11;7;14;13;12;40;24;1;0;36;85;1;12;16;25;51;11;32;20;8;2;14;19;4;58;17;0;0
400974803;0;Pacers;0;2;1;2;130;107;0;56;84;10;22;8;11;48;8;34;31;8;2;18;18;18;54;21;1;0;42;86;9;24;14;22;35;9;18;27;9;4;14;20;6;54;14;0;0
400974803;1;Timberwolves;1;2;0;2;107;130;1;42;86;9;24;14;22;35;9;18;27;9;4;14;20;6;54;14;0;0;56;84;10;22;8;11;48;8;34;31;8;2;18;18;18;54;21;1;0
400974804;0;Pelicans;1;1;1;1;93;103;0;30;76;9;30;24;32;48;4;38;17;5;7;17;14;2;34;26;1;0;33;88;10;29;27;33;67;18;45;17;7;7;19;11;4;38;22;1;0
400974804;1;Trail Blazers;1;1;1;1;103;93;1;33;88;10;29;27;33;67;18;45;17;7;7;19;11;4;38;22;1;0;30;76;9;30;24;32;48;4;38;17;5;7;17;14;2;34;26;1;0
400974805;0;Jazz;1;1;1;1;84;102;1;34;79;7;28;9;11;47;8;33;20;7;7;18;26;16;34;23;0;0;39;83;10;29;14;21;51;11;33;21;12;4;13;17;14;52;16;0;0
400974805;1;Clippers;1;1;1;1;102;84;0;39;83;10;29;14;21;51;11;33;21;12;4;13;17;14;52;16;0;0;34;79;7;28;9;11;47;8;33;20;7;7;18;26;16;34;23;0;0
400974806;0;Nuggets;1;1;0;1;93;110;1;38;100;8;31;9;15;58;18;33;18;6;1;14;16;7;52;23;0;0;38;81;13;31;21;26;58;10;40;17;5;5;14;12;11;30;16;0;0
400974806;1;Hornets;0;1;1;1;110;93;0;38;81;13;31;21;26;58;10;40;17;5;5;14;12;11;30;16;0;0;38;100;8;31;9;15;58;18;33;18;6;1;14;16;7;52;23;0;0
400974807;0;Timberwolves;1;2;0;1;101;122;1;37;85;9;25;18;21;46;7;30;19;5;4;14;18;0;38;19;0;0;48;92;15;34;11;17;55;12;35;32;7;3;15;15;24;52;22;0;0
400974807;1;Pistons;0;1;1;2;122;101;0;48;92;15;34;11;17;55;12;35;32;7;3;15;15;24;52;22;0;0;37;85;9;25;18;21;46;7;30;19;5;4;14;18;0;38;19;0;0
400974808;0;Rockets;1;2;0;1;105;104;1;36;75;12;39;21;24;43;7;33;22;11;13;19;23;9;40;13;0;0;43;97;12;36;6;10;57;12;31;29;14;7;16;14;10;48;19;0;0
400974808;1;76ers;0;1;1;2;104;105;0;43;97;12;36;6;10;57;12;31;29;14;7;16;14;10;48;19;0;0;36;75;12;39;21;24;43;7;33;22;11;13;19;23;9;40;13;0;0
400974809;0;Cavaliers;0;2;0;0;107;112;0;39;81;12;35;17;26;61;9;38;21;5;7;21;24;16;38;17;0;0;40;93;17;46;15;21;49;10;28;22;11;3;13;20;14;32;22;0;0
400974809;1;Nets;0;0;0;2;112;107;1;40;93;17;46;15;21;49;10;28;22;11;3;13;20;14;32;22;0;0;39;81;12;35;17;26;61;9;38;21;5;7;21;24;16;38;17;0;0
400974810;0;Spurs;1;2;0;1;117;100;1;42;76;10;17;23;30;51;8;36;18;6;3;13;17;1;44;20;0;0;37;80;9;26;17;18;34;4;28;19;6;2;9;12;9;44;25;0;0
400974810;1;Heat;0;1;1;2;100;117;0;37;80;9;26;17;18;34;4;28;19;6;2;9;12;9;44;25;0;0;42;76;10;17;23;30;51;8;36;18;6;3;13;17;1;44;20;0;0
400974811;0;Pacers;0;2;1;1;96;114;0;28;83;10;29;30;35;52;14;27;13;13;2;19;12;7;28;23;1;0;43;89;10;27;18;26;62;16;33;26;8;8;20;25;14;54;27;0;0
400974811;1;Thunder;1;1;0;2;114;96;1;43;89;10;27;18;26;62;16;33;26;8;8;20;25;14;54;27;0;0;28;83;10;29;30;35;52;14;27;13;13;2;19;12;7;28;23;1;0
400974812;0;Grizzlies;1;0;1;0;94;103;0;33;72;12;31;16;24;48;6;30;14;7;2;18;22;20;28;22;1;0;36;74;11;26;20;29;46;4;31;20;6;4;11;11;7;36;20;1;0
400974812;1;Mavericks;1;0;1;0;103;94;1;36;74;11;26;20;29;46;4;31;20;6;4;11;11;7;36;20;1;0;33;72;12;31;16;24;48;6;30;14;7;2;18;22;20;28;22;1;0
400974813;0;Jazz;1;1;1;0;88;97;0;32;77;6;25;18;25;49;7;37;20;8;10;24;27;14;32;19;0;0;42;96;6;19;7;9;59;16;39;18;8;5;16;18;8;46;25;1;0
400974813;1;Suns;1;0;1;1;97;88;1;42;96;6;19;7;9;59;16;39;18;8;5;16;18;8;46;25;1;0;32;77;6;25;18;25;49;7;37;20;8;10;24;27;14;32;19;0;0
400974814;0;Raptors;0;2;1;2;112;117;0;43;94;8;34;18;19;48;17;25;30;10;6;18;17;15;54;16;0;0;43;77;12;26;19;22;41;6;31;32;10;7;17;17;33;48;15;0;0
400974814;1;Warriors;1;2;0;2;117;112;1;43;77;12;26;19;22;41;6;31;32;10;7;17;17;33;48;15;0;0;43;94;8;34;18;19;48;17;25;30;10;6;18;17;15;54;16;0;0
400974815;0;Wizards;0;2;1;0;99;102;1;39;95;6;26;15;23;56;7;38;20;11;5;15;16;16;48;19;1;0;41;92;7;30;13;16;62;6;47;27;9;5;22;29;17;54;26;0;0
